"","player","role","mode","series_played","win_rate","kd"
"341","Atlas","AR","Search & Destroy",8,20,0.71875
"342","Breszy","SMG","Search & Destroy",8,20,0.806451612903226
"343","Natshay","SMG","Search & Destroy",8,20,0.808823529411765
"344","Evas1on","SMG","Search & Destroy",7,18.2,0.835443037974684
"345","Fastballa","SMG","Hardpoint",9,18.2,0.810897435897436
"346","Fastballa","SMG","Search & Destroy",9,18.2,0.973684210526316
"347","Naux","SMG","Search & Destroy",7,18.2,0.730769230769231
"348","Parzelion","AR","Search & Destroy",11,16.7,0.941176470588235
"349","Malls","SMG","Capture The Flag",32,15.4,0.775510204081633
"350","Wailers","AR","Capture The Flag",32,15.4,1.03932584269663
"351","Bidz","SMG","Search & Destroy",7,14.3,0.612244897959184
"352","Cammy","SMG","Search & Destroy",7,14.3,0.34
"353","Enduraaa","AR","Search & Destroy",7,14.3,0.565217391304348
"354","Johnny","AR","Hardpoint",6,14.3,1.14201183431953
"355","Johnny","AR","Search & Destroy",6,14.3,0.770833333333333
"356","Stamino","SMG","Hardpoint",6,14.3,0.769607843137255
"357","Stamino","SMG","Search & Destroy",6,14.3,0.64
"358","Bidz","SMG","Hardpoint",7,12.5,0.86283185840708
"359","Cammy","SMG","Hardpoint",7,12.5,0.940677966101695
"360","Enduraaa","AR","Hardpoint",7,12.5,0.880597014925373
"361","Riskin","SMG","Capture The Flag",26,12.1,0.8649468892261
"362","Zayrox","SMG","Capture The Flag",29,11.1,0.908950617283951
"363","Evas1on","SMG","Capture The Flag",7,10,0.799019607843137
"364","Naux","SMG","Capture The Flag",7,10,0.803030303030303
"365","Parzelion","AR","Capture The Flag",11,9.1,0.985148514851485
"366","GRVTY","SMG","Hardpoint",8,8.3,0.851612903225806
"367","LlamaGod","SMG","Capture The Flag",11,8.3,0.822314049586777
"368","Tisch","SMG","Hardpoint",8,8.3,0.846153846153846
"369","Atlas","AR","Capture The Flag",8,0,0.689873417721519
"370","Breszy","SMG","Capture The Flag",8,0,0.825806451612903
"371","Fastballa","SMG","Capture The Flag",9,0,0.697560975609756
"372","Johnny","AR","Capture The Flag",6,0,0.857142857142857
"373","Natshay","SMG","Capture The Flag",8,0,0.782608695652174
"374","Phantomz","AR","Hardpoint",8,0,0.956953642384106
"375","Stamino","SMG","Capture The Flag",6,0,0.72
